"Line Code","Direction","Station Code","Station ID","Chinese Name","English Name","Sequence"
"AEL","DT","AWE","56","博覽館","AsiaWorld-Expo",1.00
"AEL","DT","AIR","47","機場","Airport",2.00
"AEL","DT","TSY","46","青衣","Tsing Yi",3.00
"AEL","DT","KOW","45","九龍","Kowloon",4.00
"AEL","DT","HOK","44","香港","Hong Kong",5.00
"DRL","DT","SUN","54","欣澳","Sunny Bay",1.00
"DRL","DT","DIS","55","迪士尼","Disneyland Resort",2.00
"EAL","LMC-DT","LMC","78","落馬洲","Lok Ma Chau",1.00
"EAL","DT","LOW","76","羅湖","Lo Wu",1.00
"EAL","DT","SHS","75","上水","Sheung Shui",2.00
"EAL","DT","FAN","74","粉嶺","Fanling",3.00
"EAL","DT","TWO","73","太和","Tai Wo",4.00
"EAL","DT","TAP","72","大埔墟","Tai Po Market",5.00
"EAL","DT","UNI","71","大學","University",6.00
"EAL","DT","FOT","69","火炭","Fo Tan",7.00
"EAL","RAC-DT","RAC","77","馬場","Racecourse",7.00
"EAL","DT","SHT","68","沙田","Sha Tin",8.00
"EAL","DT","TAW","67","大圍","Tai Wai",9.00
"EAL","DT","KOT","8","九龍塘","Kowloon Tong",10.00
"EAL","DT","MKK","65","旺角東","Mong Kok East",11.00
"EAL","DT","HUH","64","紅磡","Hung Hom",12.00
"EAL","DT","EXC","94","會展","Exhibition Centre",13.00
"EAL","DT","ADM","2","金鐘","Admiralty",14.00
"ISL","DT","CHW","37","柴灣","Chai Wan",1.00
"ISL","DT","HFC","36","杏花邨","Heng Fa Chuen",2.00
"ISL","DT","SKW","35","筲箕灣","Shau Kei Wan",3.00
"ISL","DT","SWH","34","西灣河","Sai Wan Ho",4.00
"ISL","DT","TAK","33","太古","Tai Koo",5.00
"ISL","DT","QUB","32","鰂魚涌","Quarry Bay",6.00
"ISL","DT","NOP","31","北角","North Point",7.00
"ISL","DT","FOH","30","炮台山","Fortress Hill",8.00
"ISL","DT","TIH","29","天后","Tin Hau",9.00
"ISL","DT","CAB","28","銅鑼灣","Causeway Bay",10.00
"ISL","DT","WAC","27","灣仔","Wan Chai",11.00
"ISL","DT","ADM","2","金鐘","Admiralty",12.00
"ISL","DT","CEN","1","中環","Central",13.00
